Unnamed: 0,Nama Pelanggan,Produk,Ulasan,Rating,label
117,a***a,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,"kemasan diterima dalam kondisi kardus rusak, dikirim hanya mejanya aja, baut dan kaki2 dikirim terpisah, pengiriman baut dan kaki2 resinya ga bisa dilacak, diminta resi y...",1,0
130,a***d,Kursi Lipat Portable/ Bangku Lipat Camping/ Kursi Makan kayu Minimalis,reyot bahnnya ngk kuat buat dewasa ngeri ambruk JK buat anak anak aman,1,0
34,k***s,Homedoki Kursi Kantor Hidrolik/Kursi Gaming/Kursi Putar/Kursi Jaring,"kualitas baik, sesuai harga, pokoknya OK lah",5,1
35,Hadiyah,Rak Sepatu Kayu/Rak Sepatu Minimalis/Rak Sepatu Susun/Rak Multifungsi,tak jadiin rak action figuree wkwk,5,1
131,abbad,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,"Kecewa dg brang yg dkirimkan reyot ngk kuat dg beban sebesar air galon atau skitar 10 sd 20kg sdh dipastikan ambruk, Krn bhan serbuk yg sangat tipis sekli 3ml dbandingkan...",1,0
36,A***i,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,"lumayan, awalnya bingung cara merakitnya,, tp ikutin aja petunjuknya, akhirnya jadi juga. 
barangnya juga cpt sampainya, estimasi 2-3minggu pakai kargo, tp 7 hari sudah n...",5,1
141,Rehan,Rak Penyimpanan Susun 4/5 Tingkat Besi Rak Dapur Microwave Kamar Mandi,kurang kokoh,3,0
146,andriani,Lemari Sepatu Susun Minimalis / Rak Sepatu Kapasitas Besar/ Rak Sepatu,murnya kurang dan tidak lengkap,3,0
38,Irawan,Eames Kursi Tamu untuk Kantor Kafe Kursi Belajar Kursi Bar Bersantai,"barang sesuai Display, bagua",5,1
39,I***n,Meja Tv Minimalis / Meja TV Minimalis Kabinet / TV Stand Cabinet,"barang sesuai harga, pemasangan mudah dirakit, desain bagus, overall ok...
cuma blm tau kekuatan bahan MDF ini sampe brp lama, semoga awet",5,1
148,Ahya,Meja Lipat Portable/ Meja Makan portable/ Meja Lipat Besi/ Meja Kayu,"Mungkin masalah di pengiriman atau bagaimana tapi saat sampai kualitas barangnya kurang seperti baut yg lepas, pinggir meja yg coak, lasan nya tdk rapih dan menyebabkan s...",3,0
40,Lena,Lemari Sepatu Susun Minimalis / Rak Sepatu Kapasitas Besar/ Rak Sepatu,ada satu papan yang salah kasih lubang tapi gapapa,5,1
152,inAm,Meja Rias Lampu LED / Meja Rias Kaca Sliding Minimalis / Meja Kosmetik,Tidak istimewa,3,0
156,E***o,Rak Susun Serbaguna / Rak Buku / Rak Ruang Tamu / Rak Kamar Tidur,Tutup buat tarik tidak ada,2,0
41,Erfian,Rak Penyimpanan Rak Dapur Microwave Kamar Rak Serbaguna Rak Microwave,"produk oke hanya saja ada beberapa item yg cacat. Seperti hpl yg mengelupas dan panel penutup yg retak juga ketika dipasang kurang presisi.
overall lumayan untuk naro2 ba...",4,1
159,Kantu,Meja Kerja / Meja Komputer Meja Desktop Rumah Meja Tulis Sederhana,"Design nya bagus, penjual jg layanannya bagus. tp packing nya kurang bagus, ada bagin pojok yg rusak.. bahan nya serba tipis. kayknya tdk bs menahan beban yg agak berat.....",3,0
42,Aditya,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,"Mudah di rakit, kualitas bagus",5,1
161,ryan,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,Tidak ada ulasan,1,0
43,Aditya,Kursi Kantor Ergonomis/ Kursi Kerja / Kursi Belajar / Kursi Ergonomis,"Mudah di rakit bahan solid, Kursi nyaman",5,1
163,Anis,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,Tidak ada ulasan,2,0
44,Aditya,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,Mudah di rakit bahan solid mantap,5,1
45,Joskevkent,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,"bahan bagus sesuai harga ,  disain ok",5,1
177,Rinna,Homedoki Rak Sepatu/Lemari Sepatu Kayu/Lemari Kabinet Kayu Minimalis,Mur ada yg tida lengkap,3,0
46,Engki,Homedoki Ultrasonic Cleaning Machine / Pembersih Cuci Peralatan Kecil,suara berisik,5,1
180,E***o,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,Tidak ada ulasan,3,0
47,Fery,Meja Rias Putih / Meja Rias Minimalis / Dressing Table Meja Kosmetik,Gampang utk perakitan cuman syg ada cacat dikit.. Tp okelah,4,1
181,E***o,Homedoki Meja Belajar / Meja komputer / Meja Kerja / Meja Kantor Kayu,Tidak ada ulasan,3,0
48,Wahyudin,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,"Barangnya bagus, masangnya gampang dan cepat..harga bersahabat.. pelayanannya sangat memuaskan..",5,1
189,Ellyza,Homedoki Meja Belajar / Meja komputer / Meja Kerja / Meja Kantor Kayu,"Sekrup 6cm kurang 3 buah untuk sisi samping alas rak. Ada 1 sekrup 6cm kpala datar dan 6mur yg tdk ada gunanya. Sekrup 2cm buat papan pijak tdk bisa masuk.
Saya tidak bis...",3,0
49,Teguh,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,bagian sudut meja agak tajam,4,1
196,Kharisma,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,parah dari packingnya. barang nyampe  yang panjangnya pada patah,1,0
203,L***f,Meja Rias / Meja rias flip-top / Meja Rias Minimalis Kaki Kayu Solid,"bautnya mudah lepas, kayunya mudah hancur",1,0
50,Y***r,Rak Penyimpanan Rak Dapur Microwave Kamar Rak Serbaguna Rak Microwave,okelah sesuai harga,5,1
204,L***f,Homedoki Meja Belajar Minimalis/ Meja Komputer/ Meja Kantor/ Meja kayu,"kayu banyak yg pecah, bautnya mudah lepas, kaki2 bengkok",2,0
51,Q***t,Kursi Lipat Portable/ Bangku Lipat Camping/ Kursi Makan kayu Minimalis,"sesuai promosi dan iklan nya, oke",5,1
215,fharish,Meja Kerja / Meja Komputer Meja Desktop Rumah Meja Tulis Sederhana,Barang e remuk. Gompal pinggir ro tengah e.,2,0
52,Rafi,Meja Kerja / Meja Komputer Meja Desktop Rumah Meja Tulis Sederhana,"saya terlalu berekspektasi bakal lebar buat keyboard dan mouse, ternyata salah hehe tapi gpp gaada minus dan lecet",4,1
220,S***n,MEJA NAKAS KECIL / BED SIDE TABLE MINIMALIS SERBAGUNA / Meja Sudut,Tidak ada ulasan,1,0
53,Arief,Meja Belajar / Meja Kantor / Meja Kayu Minimalis / Meja Kerja,liat foto aja ya✨,5,1
221,Rangga,Meja Tv Minimalis / Meja TV Minimalis Kabinet / TV Stand Cabinet,"kaki2nya sy cuma dapat 5, kayaknya di gambar ada 7.",3,0
54,Hermawan,Bangku Rias / makeup stool / bangku samping tempat tidur / Kursi piano,"Packing rapih dan aman, barang sesuai, fast respond",5,1
232,N***r,Rak Dapur Susun Minimalis Rak Oven Microwave Bumbu Dapur Serbaguna,"kualitas sesuai harga lah, modelnya cukup bagus tp materialnya tipis dan mudah rusak",3,0
55,Hermawan,Meja Rias / Meja rias flip-top / Meja Rias Minimalis Kaki Kayu Solid,"Fast respond, barang sesuai, kualitas sesuai harga, packing rapih dan aman",5,1
236,Stevanus,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,"untuk menaruh 1 monitor sangat tdk mungkin
terlalu tipis
kaki kaki tdk kokoh.",2,0
56,Aditya,Rak Penyimpanan Rak Dapur Microwave Kamar Rak Serbaguna Rak Microwave,Packingannya bagus….tinggal pasang saja sesuai petunjuk….mantap dah bosss,5,1
57,roswitha,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,"Estimasi waktu lebih cepat dari perkiraan, cuma hitungan jam, barang sdh sy terima. Secr keselrhan packing rapi dan aman dr benturan.
Komponen besi kokoh, hitam plastik i...",5,1
238,Rinto,Meja Rias Putih / Meja Rias Minimalis / Dressing Table Meja Kosmetik,saya menerima barang tidak lengkap dan sudah hampir 2 bulan ini gak ada kejelasan dr seller.. TOLONG kpd HOMEDOKI bagaimana TANGGUNG JAWAB nya krn sy merasa dirugikan,1,0
58,Isep,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,"Materialnya bagus dan kokoh,,,",5,1
240,Y***i,Lemari Rak Sepatu Kayu Dengan Rak Serbaguna Rak Sepatu Minimalis,agak kecewa. bukan karena barangnya. tp krn size nya. sepatu boot gak bs masuk. even sepatu kaya nike air force harus di gepengin baru masuk. tidak disarankan unt ukuran...,3,0
60,M***a,Rak Sepatu kayu / Anti Debu Lemari Sepatu kayu lipat/ Rak Sepatu Susun,"cara pasang mudah dipahami, bagian paku putar yang bawah memang kurang panjang, jadi kurang kokoh, agak tricky utk pasang yang bagian itu, selebihnya oke lah. hanya saja...",5,1
251,dr,Meja Kayu/ Meja Lipat Portable/ Meja Makan portable/ Meja Lipat Besi,ujung mejanya rusak,1,0
280,Andrew,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,"bagian belakang dan depan kayu gompel, lis pinggir lepas. instruksi pemasangan susah dimengerti karena gambar kurang jelas. lubang pemasangan tidak pas sehingga hasilnya...",2,0
61,W***a,Meja Makan / Meja Minum Teh Jepang / Meja Tamu lipat / Meja Lesehan,"pengiriman cepat dan pengemasan produk rapih, meja bagus kokoh.",5,1
63,e***g,Meja Lipat Portable/ Meja Makan portable/ Meja Lipat Besi/ Meja Kayu,Tidak ada ulasan,5,1
286,Danarto,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,Tidak ada ulasan,2,0
290,Harry,Meja Lipat Portable/ Meja Makan portable/ Meja Lipat Besi/ Meja Kayu,Tidak ada ulasan,3,0
64,t***a,Kursi Kantor Ergonomis/ Kursi Kerja / Kursi Belajar / Kursi Ergonomis,barang bagus,5,1
291,m***s,Rak Dapur Susun Minimalis Rak Oven Microwave Bumbu Dapur Serbaguna,Pengiriman lama dan barang banyak penyok,2,0
65,Kipas,Kursi Kantor Ergonomis/ Kursi Kerja / Kursi Belajar / Kursi Ergonomis,oke,5,1
302,R***l,Homedoki Meja Kantor /Computer Desk / Meja Kayu Minimalis / Meja Kerja,"Overal untuk mejanya kualitas bagus, hanya saja sya terima cukup banyak yang penyok, dan ketika di coba buat nyender ternyata mejanya kurang kokoh agak goyang",3,0
66,Rihana,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,Bagus dan kuat. Semoga awet. Mau pesan lagi.,5,1
67,Susi,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,"bagus barangnya, respon penjual bagus. tks yahh",5,1
326,Ricky,Rak Dapur Susun Minimalis Rak Oven Microwave Bumbu Dapur Serbaguna,Hambalan tengah gak ada tambahan penyangah jadinya ngondoy tapi liat di riview org lain ada tambahan penyangah nya,1,0
68,Yuselda,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,"Material dan kualitasnya bagus sekali, sudah dilenhkai dengan buki panduan dan angka di setiap part kayu. terima kasih ya!",5,1
329,Rahmi,Rak Susun Portabel / Tempat Buku / Rak Buku Kayu Minimalis / Rak Kamar,"parah! tidak ada buku petunjuk atau kertas catatan petunjuknya, jadi sampai saat ini barang belum bisa dipasang.",2,0
332,Michael,"Kabinet penyimpanan kayu / Lemari Multifungsi/ 4,5,6 Tier Laci Kabinet",Beli 2 paket. 1 paket lagi ngga ada handle pintunya. Sudah kirim keluhan by chat maupun WA tapi minta unboxing video. Unboxing video sudah dikirim tapi minta video unboxi...,1,0
69,J***g,Meja Lipat Camping /Aluminium Meja Portabel / Meja Lipat Outdoor,"mantap,,sesuai expetasi..",5,1
70,R***a,Homedoki Meja Belajar Minimalis/ Meja Komputer/ Meja Kantor/ Meja kayu,"materialnya bagus, kualitas bagus, keren pokoknya",5,1
335,I***n,Homedoki Meja Makan Minimalis /Meja Cafe / Dining Table / Meja Belajar,"barang sampai patah & seller tidak menolak komplain karena dr pihak ekspedisi 

sy mau beli barang yg rusak bilang tidak ada barang 

sangat mengecewakan sekali

sell...",1,0
71,Suwandi,Meja Komputer / Gaming Table/ Meja Belajar / Meja Kerja Meja PC Gaming,Bahan bagus dan kokoh...puas belinya,5,1
346,h***a,Rak Penyimpanan Rak Dapur Microwave Kamar Rak Serbaguna Rak Microwave,"ada part yang lapuk, pelayanan penjual tidak memuaskan, part ada yang kurang",2,0
73,Robb,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,kemarin ada part yg kurang tapi alhamdulillah langsung di proses dan dikirim. seller nya keren dan mantan,5,1
352,R***D,Homedoki Meja TV Modern/Lemari TV/Rak TV/Meja TV Kayu/TV stand kabinet,"Kualitas barang tidak bagus, barang diterima kayu sudah terkelupas dan beberapa part kayu pinggirannya penyok. penjual tidak menerima claim pergantian barang, kapok beli...",1,0
356,R***y,Lemari Sepatu Susun Minimalis / Rak Sepatu Kapasitas Besar/ Rak Sepatu,"barangnya bagus, tapi saya ada bagian-bagian yang tidak pas lubangnya, bukun panduan kurang komplit tata caranya dan komponen-komponennya,",3,0
74,R***n,Rak Penyimpanan Rak Dapur Microwave Kamar Rak Serbaguna Rak Microwave,nice,5,1
75,E***u,Meja Komputer / Gaming Table/ Meja Belajar / Meja Kerja Meja PC Gaming,"meja cukup kokoh dan pemasangan nya cukup mudah, dan bisa dipakai buat nyimpen 2 monitor, cuma untuk pengiriman tolong lebih diperhatikan lagi soalnya dusnya ada yang sob...",4,1
361,D***i,Kursi Bar / Kursi Cafe /Kursi Santai / Kursi Kantor / Bangku Kerja,Mudah rusak,1,0
362,D***i,Eames Kursi Tamu untuk Kantor Kafe Kursi Belajar Kursi Bar Bersantai,Mudah rusak,1,0
76,A***h,Homedoki Meja Belajar / Meja komputer / Meja Kerja / Meja Kantor Kayu,"untuk mejanya bagus, kualitas kayu juga bagus, hanya saja memang untuk las nya agak kurang dan juga sekrup 6 datarnya kurang.
Overall memuaskan.
semoga next nya makin dit...",4,1
77,Ainul,Meja Lipat Camping /Aluminium Meja Portabel / Meja Lipat Outdoor,"kualitas barang bagus. sayang packingnya kurang bagus, hanya dilapisi buble warp (tanpa packing kardus). dan packingnya robek saat diterima",4,1
365,Adri,Kursi Bar / Kursi Cafe /Kursi Santai / Kursi Kantor / Bangku Kerja,"Barangnya baik tidak ada yg cacat. Tapi
Customer service nya bisa lebih baik lg dan ditingkatkan",3,0
381,Benni,Meja Kerja / Meja Komputer Meja Desktop Rumah Meja Tulis Sederhana,"Pengiriman cepat, kualitas material biasa aja (papan dekstop nya tipis dan kaki besi nya cenderung leyor)",3,0
78,Handi,Rak Susun Portabel / Tempat Buku / Rak Buku Kayu Minimalis / Rak Kamar,good 👍👍,5,1
79,Handi,Laci Kabinet Penyimpanan Lemari Kayu / Lemari Laci Kayu / Drawers Rack,good 👍,5,1
382,M***d,Homedoki Meja Belajar / Meja komputer / Meja Kerja / Meja Kantor Kayu,"Respon toko cepat begitupun proses pesanan, namun kualitas produk kurang memuaskan. Hampir semua siku rangka meja seperti di las sejadinya (seperti di gambar), sangat dis...",3,0
387,Audira,Eames Kursi Tamu untuk Kantor Kafe Kursi Belajar Kursi Bar Bersantai,"Kualitas kurang bagus, kursi letoy, pengiriman lama bgt. Murah si tapi ya murahan hehe",1,0
80,i***p,Meja Kerja / Meja Komputer Meja Desktop Rumah Meja Tulis Sederhana,"siip utk harga segitu, model mungil, cocok buat kamar ukuran kecil. barang sampai dengan baik dan utuh. pemasangan butuh sekitar 15 menit sendirian.",5,1
81,S***s,MEJA NAKAS KECIL / BED SIDE TABLE MINIMALIS SERBAGUNA / Meja Sudut,"modelnya sih oke, cuma laci nya ga berfungsi dengan baik buat di buka dan tutup karna emang ga pake railing cuma di tahan pake stopper doang. dan banyak bagian yg rusak....",4,1
389,Audira,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,"Pengiriman lama, kualitas gak bagus, meja letoy, banyak bompel pecah pecah.",1,0
82,f***i,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,casing skrup/baut knock down tidak ada,4,1
395,Jakarta,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,Tidak ada ulasan,2,0
399,Hendra,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,pengiriman dari kurirnya lama sekali. pelayanan dari penjual sangat membantu,3,0
84,B***s,Lemari Rak Sepatu Kayu Dengan Rak Serbaguna Rak Sepatu Minimalis,Tidak ada ulasan,5,1
86,Andiwan,Coffee Table / Meja Tamu Minimalis Samping/ Meja Kopi/ Meja Samping,"modelnya keren, kualitas Oke. recommended",5,1
402,Dedi,"Kabinet penyimpanan kayu / Lemari Multifungsi/ 4,5,6 Tier Laci Kabinet",sekrup dan baut tidak ada...,1,0
413,H***a,Coffee Table / Meja Tamu Minimalis Samping/ Meja Kopi/ Meja Samping,"Begitu barang sampai, dibuka pinggiran coffee table sudah hancur yang otomatis tidak dapat digunakan. Ketika complaint ke penjual ngotot barang ketika dikirim dalam keada...",1,0
90,B***n,Rak Susun Serbaguna / Rak Buku / Rak Ruang Tamu / Rak Kamar Tidur,"Mantap bang…barang ok, barang digoyang tetap tegak berdiri…Mantap",5,1
422,Russian,Lemari Dapur Minimalis/Kabinet Dapur/Lemari Piring/Lemari Multifungsi,copot terus,2,0
91,O***l,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,Tidak ada ulasan,5,1
93,Nur,Meja Belajar / Meja Kantor / Meja Kayu Minimalis / Meja Kerja,meja nya keren 👍👍,5,1
424,Johan,Homedoki Meja Belajar Minimalis/ Meja Komputer/ Meja Kantor/ Meja kayu,"kurang lengkap, laci tidak ada penutup, somplak pintu depan",3,0
95,Indah,Rak Dapur Susun Minimalis Rak Oven Microwave Bumbu Dapur Serbaguna,minimalis modelnya bagus cocok buat rumah kecil... semoga awet deh,4,1
425,Daniel,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,Ehmm,3,0
427,Raden,Lemari Dinding Dapur / Lemari Kabinet Dapur / Kitchen Set Minimalis,tolong diperbaiki ya.   mungkin toko OK.  namun dipengirimannya belum OK,1,0
97,Imaswan,Lemari Sepatu Susun Minimalis / Rak Sepatu Kapasitas Besar/ Rak Sepatu,puass,5,1
429,R***n,Lemari Dapur Minimalis/Kabinet Dapur/Lemari Piring/Lemari Multifungsi,"terima kasih ada barangnya. 

namun lama sekali datangnya barang

beberapa ruksak",1,0
