,Nama Pelanggan,Produk,Ulasan,Rating,label
35,Hadiyah,Rak Sepatu Kayu/Rak Sepatu Minimalis/Rak Sepatu Susun/Rak Multifungsi,tak jadiin rak action figuree wkwk,5,1
36,A***i,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,"lumayan, awalnya bingung cara merakitnya,, tp ikutin aja petunjuknya, akhirnya jadi juga. 
barangnya juga cpt sampainya, estimasi 2-3minggu pakai kargo, tp 7 hari sudah n...",5,1
37,F***a,Rak Sudut Besar Rak Minimalis Kayu Serbaguna Rak Buku Multifungsi,"kurang presisi, mur minifynya tidak bisa rapat",3,0
38,Irawan,Eames Kursi Tamu untuk Kantor Kafe Kursi Belajar Kursi Bar Bersantai,"barang sesuai Display, bagua",5,1
39,I***n,Meja Tv Minimalis / Meja TV Minimalis Kabinet / TV Stand Cabinet,"barang sesuai harga, pemasangan mudah dirakit, desain bagus, overall ok...
cuma blm tau kekuatan bahan MDF ini sampe brp lama, semoga awet",5,1
40,Lena,Lemari Sepatu Susun Minimalis / Rak Sepatu Kapasitas Besar/ Rak Sepatu,ada satu papan yang salah kasih lubang tapi gapapa,5,1
41,Erfian,Rak Penyimpanan Rak Dapur Microwave Kamar Rak Serbaguna Rak Microwave,"produk oke hanya saja ada beberapa item yg cacat. Seperti hpl yg mengelupas dan panel penutup yg retak juga ketika dipasang kurang presisi.
overall lumayan untuk naro2 ba...",4,1
42,Aditya,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,"Mudah di rakit, kualitas bagus",5,1
43,Aditya,Kursi Kantor Ergonomis/ Kursi Kerja / Kursi Belajar / Kursi Ergonomis,"Mudah di rakit bahan solid, Kursi nyaman",5,1
44,Aditya,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,Mudah di rakit bahan solid mantap,5,1
45,Joskevkent,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,"bahan bagus sesuai harga ,  disain ok",5,1
46,Engki,Homedoki Ultrasonic Cleaning Machine / Pembersih Cuci Peralatan Kecil,suara berisik,5,1
47,Fery,Meja Rias Putih / Meja Rias Minimalis / Dressing Table Meja Kosmetik,Gampang utk perakitan cuman syg ada cacat dikit.. Tp okelah,4,1
48,Wahyudin,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,"Barangnya bagus, masangnya gampang dan cepat..harga bersahabat.. pelayanannya sangat memuaskan..",5,1
49,Teguh,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,bagian sudut meja agak tajam,4,1
50,Y***r,Rak Penyimpanan Rak Dapur Microwave Kamar Rak Serbaguna Rak Microwave,okelah sesuai harga,5,1
51,Q***t,Kursi Lipat Portable/ Bangku Lipat Camping/ Kursi Makan kayu Minimalis,"sesuai promosi dan iklan nya, oke",5,1
52,Rafi,Meja Kerja / Meja Komputer Meja Desktop Rumah Meja Tulis Sederhana,"saya terlalu berekspektasi bakal lebar buat keyboard dan mouse, ternyata salah hehe tapi gpp gaada minus dan lecet",4,1
53,Arief,Meja Belajar / Meja Kantor / Meja Kayu Minimalis / Meja Kerja,liat foto aja ya✨,5,1
54,Hermawan,Bangku Rias / makeup stool / bangku samping tempat tidur / Kursi piano,"Packing rapih dan aman, barang sesuai, fast respond",5,1
55,Hermawan,Meja Rias / Meja rias flip-top / Meja Rias Minimalis Kaki Kayu Solid,"Fast respond, barang sesuai, kualitas sesuai harga, packing rapih dan aman",5,1
56,Aditya,Rak Penyimpanan Rak Dapur Microwave Kamar Rak Serbaguna Rak Microwave,Packingannya bagus….tinggal pasang saja sesuai petunjuk….mantap dah bosss,5,1
57,roswitha,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,"Estimasi waktu lebih cepat dari perkiraan, cuma hitungan jam, barang sdh sy terima. Secr keselrhan packing rapi dan aman dr benturan.
Komponen besi kokoh, hitam plastik i...",5,1
58,Isep,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,"Materialnya bagus dan kokoh,,,",5,1
59,J***n,Homedoki Meja Belajar / Meja komputer / Meja Kerja / Meja Kantor Kayu,Tidak ada ulasan,2,0
60,M***a,Rak Sepatu kayu / Anti Debu Lemari Sepatu kayu lipat/ Rak Sepatu Susun,"cara pasang mudah dipahami, bagian paku putar yang bawah memang kurang panjang, jadi kurang kokoh, agak tricky utk pasang yang bagian itu, selebihnya oke lah. hanya saja...",5,1
61,W***a,Meja Makan / Meja Minum Teh Jepang / Meja Tamu lipat / Meja Lesehan,"pengiriman cepat dan pengemasan produk rapih, meja bagus kokoh.",5,1
62,H***a,Lemari Rak Sepatu Kayu Dengan Rak Serbaguna Rak Sepatu Minimalis,"Barang yg diberikan kemasan kotak tidak ada safety dan tidak ditulis fragile, kemudian kotak basah tp ditutupi sama goni sehingga ada part yg rusak krn basah dan ada part...",1,0
63,e***g,Meja Lipat Portable/ Meja Makan portable/ Meja Lipat Besi/ Meja Kayu,Tidak ada ulasan,5,1
64,t***a,Kursi Kantor Ergonomis/ Kursi Kerja / Kursi Belajar / Kursi Ergonomis,barang bagus,5,1
65,Kipas,Kursi Kantor Ergonomis/ Kursi Kerja / Kursi Belajar / Kursi Ergonomis,oke,5,1
66,Rihana,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,Bagus dan kuat. Semoga awet. Mau pesan lagi.,5,1
67,Susi,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,"bagus barangnya, respon penjual bagus. tks yahh",5,1
68,Yuselda,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,"Material dan kualitasnya bagus sekali, sudah dilenhkai dengan buki panduan dan angka di setiap part kayu. terima kasih ya!",5,1
69,J***g,Meja Lipat Camping /Aluminium Meja Portabel / Meja Lipat Outdoor,"mantap,,sesuai expetasi..",5,1
70,R***a,Homedoki Meja Belajar Minimalis/ Meja Komputer/ Meja Kantor/ Meja kayu,"materialnya bagus, kualitas bagus, keren pokoknya",5,1
71,Suwandi,Meja Komputer / Gaming Table/ Meja Belajar / Meja Kerja Meja PC Gaming,Bahan bagus dan kokoh...puas belinya,5,1
72,Wirawan,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,Tidak ada ulasan,2,0
73,Robb,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,kemarin ada part yg kurang tapi alhamdulillah langsung di proses dan dikirim. seller nya keren dan mantan,5,1
74,R***n,Rak Penyimpanan Rak Dapur Microwave Kamar Rak Serbaguna Rak Microwave,nice,5,1
75,E***u,Meja Komputer / Gaming Table/ Meja Belajar / Meja Kerja Meja PC Gaming,"meja cukup kokoh dan pemasangan nya cukup mudah, dan bisa dipakai buat nyimpen 2 monitor, cuma untuk pengiriman tolong lebih diperhatikan lagi soalnya dusnya ada yang sob...",4,1
76,A***h,Homedoki Meja Belajar / Meja komputer / Meja Kerja / Meja Kantor Kayu,"untuk mejanya bagus, kualitas kayu juga bagus, hanya saja memang untuk las nya agak kurang dan juga sekrup 6 datarnya kurang.
Overall memuaskan.
semoga next nya makin dit...",4,1
77,Ainul,Meja Lipat Camping /Aluminium Meja Portabel / Meja Lipat Outdoor,"kualitas barang bagus. sayang packingnya kurang bagus, hanya dilapisi buble warp (tanpa packing kardus). dan packingnya robek saat diterima",4,1
78,Handi,Rak Susun Portabel / Tempat Buku / Rak Buku Kayu Minimalis / Rak Kamar,good 👍👍,5,1
79,Handi,Laci Kabinet Penyimpanan Lemari Kayu / Lemari Laci Kayu / Drawers Rack,good 👍,5,1
80,i***p,Meja Kerja / Meja Komputer Meja Desktop Rumah Meja Tulis Sederhana,"siip utk harga segitu, model mungil, cocok buat kamar ukuran kecil. barang sampai dengan baik dan utuh. pemasangan butuh sekitar 15 menit sendirian.",5,1
81,S***s,MEJA NAKAS KECIL / BED SIDE TABLE MINIMALIS SERBAGUNA / Meja Sudut,"modelnya sih oke, cuma laci nya ga berfungsi dengan baik buat di buka dan tutup karna emang ga pake railing cuma di tahan pake stopper doang. dan banyak bagian yg rusak....",4,1
82,f***i,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,casing skrup/baut knock down tidak ada,4,1
83,N***v,Meja Komputer / Gaming Table/ Meja Belajar / Meja Kerja Meja PC Gaming,harapa ditambah lagi proteksi disetiap ujung²nya biar saat pengiriman tidak terjadi kerusakan lagi pada ujung meja. terimakasih,3,0
84,B***s,Lemari Rak Sepatu Kayu Dengan Rak Serbaguna Rak Sepatu Minimalis,Tidak ada ulasan,5,1
85,chocolatos,Meja Belajar / Meja Kantor / Meja Kayu Minimalis / Meja Kerja,mejanya gompal,2,0
86,Andiwan,Coffee Table / Meja Tamu Minimalis Samping/ Meja Kopi/ Meja Samping,"modelnya keren, kualitas Oke. recommended",5,1
87,D***d,Rak Buku Kayu Minimalis / Buku Rak Pajangan/ Rak Penyimpanan Buku,"datang barang cacat, yg d salahkan ekspedisi (padahal kurir instan mobil)  jd dateng barang cacat kira2 salah sapa y?",2,0
88,D***d,Lemari Dapur Minimalis/Kabinet Dapur/Lemari Piring/Lemari Multifungsi,"barang dateng ga lengkap, cuma d sruh tunggu akan d kirim spare part yg kurang ny, udah 1 bulan kaga sampe2, cuma suruh tunggu",1,0
89,jimmy,Lemari Rak Sepatu Kayu Dengan Rak Serbaguna Rak Sepatu Minimalis,Tidak ada ulasan,1,0
90,B***n,Rak Susun Serbaguna / Rak Buku / Rak Ruang Tamu / Rak Kamar Tidur,"Mantap bang…barang ok, barang digoyang tetap tegak berdiri…Mantap",5,1
91,O***l,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,Tidak ada ulasan,5,1
92,Dwi,MEJA NAKAS KECIL / BED SIDE TABLE MINIMALIS SERBAGUNA / Meja Sudut,Barang tidak lengkap dan dirakit tidak pas. kecewa berat.,1,0
93,Nur,Meja Belajar / Meja Kantor / Meja Kayu Minimalis / Meja Kerja,meja nya keren 👍👍,5,1
94,Indah,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,"lumayan deh sesuai harga dan kwalitas... semoga gak cepat rusak, papannya cacat",3,0
95,Indah,Rak Dapur Susun Minimalis Rak Oven Microwave Bumbu Dapur Serbaguna,minimalis modelnya bagus cocok buat rumah kecil... semoga awet deh,4,1
96,Indah,Rak Buku/Rak Serbaguna/Rak Buku Minimalis/Rak Multifungsi Minimalis,"modelnya bagus, kwalitas lumayan deh, packing Oke tp papannya banyak yg cacat",3,0
97,Imaswan,Lemari Sepatu Susun Minimalis / Rak Sepatu Kapasitas Besar/ Rak Sepatu,puass,5,1
98,Carla,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,jadi rapih deh 😁,5,1
99,Cits,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,⭐⭐⭐⭐⭐,5,1
100,M***N,Meja Kerja / Meja Komputer Meja Desktop Rumah Meja Tulis Sederhana,Mantap Jiwa langsung order lagi,5,1
101,M***a,Kursi Lipat Portable/ Bangku Lipat Camping/ Kursi Makan kayu Minimalis,sandaran kursi nya ada yg terkelupas. overall baguslah sesuai harga,4,1
102,M***a,Meja Kerja / Meja Komputer Meja Desktop Rumah Meja Tulis Sederhana,Tidak ada ulasan,5,1
103,M***a,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,Tidak ada ulasan,5,1
104,Fadil,Meja Belajar / Meja Kantor / Meja Kayu Minimalis / Meja Kerja,mantap build qualitynya cukup aja sih gak terlalu kokoh agak goyang dikit dikit,5,1
105,B***o,Lemari Rak Sepatu Kayu Dengan Rak Serbaguna Rak Sepatu Minimalis,Barang nya bagus banget.. cepet sampe juga.. rakitnya jg gampang.. makaaassii,5,1
106,A***a,"Kabinet penyimpanan kayu / Lemari Multifungsi/ 4,5,6 Tier Laci Kabinet","respon toko cepat, pengirimannya jg tepat waktu, lebih cepat dr yg saya kira. Barang s
esuai ekspektasi, kokoh, rapi, dan gampang perakitannya..worth to buy! 👍🏻",5,1
107,Syahidal,Eames Kursi Tamu untuk Kantor Kafe Kursi Belajar Kursi Bar Bersantai,Tidak ada ulasan,4,1
108,T***n,Meja Rias LED Minimalis / Meja Rias LED / Meja Lantai / Meja Kamar LED,"Tengah2 bintang 3 aja, sulit di mengerti waktu pasang.. tapi waktu coba kotak katin lg hasilnya mayan ok.. cuman petunjuk kurang jelas",3,0
109,T***n,Lemari Sepatu Susun Minimalis / Rak Sepatu Kapasitas Besar/ Rak Sepatu,"Tengah2 bintang 3 aja, sulit di mengerti waktu pasang.. tapi waktu coba kotak katin lg hasilnya mayan ok.. cuman petunjuk kurang jelas",3,0
110,suci,Kursi Lipat Portable/ Bangku Lipat Camping/ Kursi Makan kayu Minimalis,Tidak ada ulasan,5,1
111,s***i,Meja Lipat Portable/ Meja Makan portable/ Meja Lipat Besi/ Meja Kayu,Tidak ada ulasan,1,0
112,l***y,Eames Kursi Tamu untuk Kantor Kafe Kursi Belajar Kursi Bar Bersantai,"Bangku kokoh, desain dan konstruksi bagus, packaging baik, pemasangan menantang, pembelian ke dua",5,1
113,Devidha,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,barang bagus ok pokok nya,5,1
114,Budi,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,pas untuk TV 43,5,1
115,Julita,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,Barang bagus dan cepat sampai. Puas 🤩,5,1
116,Bond,"Kabinet penyimpanan kayu / Lemari Multifungsi/ 4,5,6 Tier Laci Kabinet","material bagus, sambungan2x l3ngkap..good quality",5,1
117,a***a,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,"kemasan diterima dalam kondisi kardus rusak, dikirim hanya mejanya aja, baut dan kaki2 dikirim terpisah, pengiriman baut dan kaki2 resinya ga bisa dilacak, diminta resi y...",1,0
118,Amien,Rak Sudut Besar Rak Minimalis Kayu Serbaguna Rak Buku Multifungsi,"sampai dengan cepat, kurir pun ramah, blm dibuka, semoga bagus dan bermanfaat🙏🙏",5,1
119,Fk,Rak Susun Serbaguna / Rak Buku / Rak Ruang Tamu / Rak Kamar Tidur,Tidak ada ulasan,4,1
120,Gutomo,Rak Sepatu Susun / Tempat Sepatu Sandal Lipat / Rak Kayu Serbaguna,"bagus, murah n cepat kirimnya.. tks gan...",5,1
121,Rifqi,Homedoki Meja Belajar / Meja komputer / Meja Kerja / Meja Kantor Kayu,bagus dan kokoh kayunya,5,1
122,A***i,Lemari Dapur Minimalis/Kabinet Dapur/Lemari Piring/Lemari Multifungsi,"produk bagus, tapi utk ibu rumah tangga tanpa ketrampilan bertukang, instalasi agak sulit, akan lebih baik ada petunjuk video utk setiap produk...maturnuwun",5,1
123,Sahrul,Meja Rias Minimalis / Meja Belajar / Meja Kantor / Meja Kosmet,"keren banget nih barang, asli gak nyesel. anak seneng bgt punya meja belajar nya dan fungsi nya. semoga awet san thanks jg pengirimannya dan semoga seller tokopedia makin...",5,1
124,G***s,Eames Kursi Tamu untuk Kantor Kafe Kursi Belajar Kursi Bar Bersantai,"Baguss plstik putih musti rajin lap, belkang agak belek but oke",5,1
125,Eka,Rak Dapur Susun Minimalis Rak Oven Microwave Bumbu Dapur Serbaguna,"kualitas bagus, Layanan Bagus.",5,1
126,Istiqfha,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,Bagus raknya… trimakasih🙏🏻,5,1
127,yuana,Kursi Lipat Portable/ Bangku Lipat Camping/ Kursi Makan kayu Minimalis,kursi nya bagus cocok bgt buat duduk2 di balkon...recommended...!,5,1
128,Andi,Meja Tv Minimalis / Meja TV Minimalis Kabinet / TV Stand Cabinet,"Barangnya mantap, gak susah dirakitnya, seller responsif dan tanggung jawab.. pokoknya puas",5,1
129,Azwar,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,"mantab...lumayan bagus,sesuai haegalah...",5,1
130,a***d,Kursi Lipat Portable/ Bangku Lipat Camping/ Kursi Makan kayu Minimalis,reyot bahnnya ngk kuat buat dewasa ngeri ambruk JK buat anak anak aman,1,0
131,abbad,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,"Kecewa dg brang yg dkirimkan reyot ngk kuat dg beban sebesar air galon atau skitar 10 sd 20kg sdh dipastikan ambruk, Krn bhan serbuk yg sangat tipis sekli 3ml dbandingkan...",1,0
132,Sabichul,Meja kerja/belajar/komputer/laptop/desktop/studi dengan kursi gratis,Ada beberapa kendala tapi sudah terselesaikan dengan baik. Pelayanan Mantap,5,1
133,Edi,Eames Kursi Tamu untuk Kantor Kafe Kursi Belajar Kursi Bar Bersantai,"susah pasangnya, hasilnya lumayan",4,1
134,Edi,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,"agak goyang, lumayan lah",4,1
135,donny,Meja anak-anak / Meja Belajar / Meja Tulis/ Meja belajar minimalis,bagus,5,1
136,f***n,Meja Komputer / Gaming Table/ Meja Belajar / Meja Kerja Meja PC Gaming,"Barang sampai, tidak ada kerusakan parah walaupun ada garis putih di bagian atas meja. overall build quality nya terasa bagus",5,1
137,M***d,Meja Belajar / Meja Kantor / Meja Kayu Minimalis / Meja Kerja,cepat sampai. admin responsif. barang sesuai dan kualitas bagus. terimakasih,5,1
138,NKE,Homedoki Meja Belajar / Meja komputer / Meja Kerja / Meja Kantor Kayu,Bagus banget seperti di photo dan berkualitas,5,1
139,Yaya,Rak Mesin Cuci/Rak Serbaguna/Rak Laundry/Rak Cuci/Toilet Organizer,"mantabs, barang sesuai",5,1
140,A***a,Meja Rias LED Minimalis / Meja Rias LED / Meja Lantai / Meja Kamar LED,"Barang di terima dengan baik, sudah di rakit, sesuai deskripsi. Barang bagus. Terima kasih seller, sukses selalu ya 👍🏼",5,1
141,Rehan,Rak Penyimpanan Susun 4/5 Tingkat Besi Rak Dapur Microwave Kamar Mandi,kurang kokoh,3,0
142,arasi,Meja / Meja Makan / Meja Komputer / Meja Gaming / Meja Kantor,Sip,5,1
143,arasi,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,Sip,5,1
144,H***s,Meja TV Rak Tv Minimalis Bufet Tv Minimalis Kayu Modern Rak Serbaguna,"Saya beli 2 meja. Awalnya barang yg datang terdapat beberapa problem. Yg meja 1 ada part yg rusak, yg 1 lgi tdk sampai. Sy ajukan komplain dan penjual sangat responsif se...",5,1
145,r***i,Rak Penyimpanan Rak Dapur Microwave Kamar Rak Serbaguna Rak Microwave,"untuk pelayanan adm dan toko.baik fasd respon kendala paket ya .
dan untuk pembeli di perhatikN playanan kurir suka ada saja kendala paket jne tsbut selebihna baranh baik...",4,1
146,andriani,Lemari Sepatu Susun Minimalis / Rak Sepatu Kapasitas Besar/ Rak Sepatu,murnya kurang dan tidak lengkap,3,0
147,Ahya,Kursi Lipat Portable/ Bangku Lipat Camping/ Kursi Makan kayu Minimalis,"Untuk kursinya bagus dan kuat rangkanya. Untuk harga yg terbilang murah, kualitasnya tetap bagus. Bantalan kursinya juga empuk. Thanks ya",5,1
148,Ahya,Meja Lipat Portable/ Meja Makan portable/ Meja Lipat Besi/ Meja Kayu,"Mungkin masalah di pengiriman atau bagaimana tapi saat sampai kualitas barangnya kurang seperti baut yg lepas, pinggir meja yg coak, lasan nya tdk rapih dan menyebabkan s...",3,0
149,C***i,Tangga Lipat Besi Padat dengan 3/4 langkah Tangga Baja Rumah Tangga,Bagus barangnya,5,1
150,Mokhamad,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,buat naro barang ringan masih oke. pastiin isi barang yang di rak bawah buat bantu support barang di atas. buat harga segini masih oke lah,4,1
151,T***y,Meja Tv Minimalis / Meja TV Minimalis Kabinet / TV Stand Cabinet,produk sesuai pesanan original.. fast respon n delivery recomended.. bagus.. semoga berfungsi dengan baik dan awet.. thanks all,5,1
152,inAm,Meja Rias Lampu LED / Meja Rias Kaca Sliding Minimalis / Meja Kosmetik,Tidak istimewa,3,0
153,A***d,Meja Belajar / Meja Kantor / Meja Kayu Minimalis / Meja Kerja,worth it👍,5,1
154,A***a,Rak Penyimpanan 5 Tingkat/ 5 Susun Rak Gudang Serbaguna Rak/ Rak Dapur,"barang diterima dgn kondisi kardus robek, lapuk seperti barang lama... besi tipis, sambungan kurang bagus, mudah lepas... papan triplek tipis sepertinya tidak tahan air (...",4,1
155,Lia,Homedoki Kursi/Kursi Makan/Kursi Kayu/Kursi Belajar/Kursi Kantor,"kursinya cukup bagus, meskipun ada beberapa bagian yang kurang bagus seperti di sambungan antara sandaran dengan kaki nya. Tapi overall, pengalamannya menyenangkan. CS ny...",5,1
156,E***o,Rak Susun Serbaguna / Rak Buku / Rak Ruang Tamu / Rak Kamar Tidur,Tutup buat tarik tidak ada,2,0
157,Marcel,Meja Komputer / Gaming Table/ Meja Belajar / Meja Kerja Meja PC Gaming,"packing mantab, sampai tujuan dengan Selamat. barang cocok dengan harganya",5,1
